BAIRRO,DRE,num_alunos
CIDADE TIRADENTES,G,505647
ITAIM PAULISTA,MP,294499
ITAQUERA,IQ,185588
JARDIM RODOLFO PIRANI,SM,181928
IPIRANGA,IP,171486
PARQUE BOA ESPERANCA,SM,162516
PARQUE MARIA HELENA,CL,162286
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,IQ,151282
JARDIM PERI,FO,145527
JARDIM DAS OLIVEIRAS,MP,138026
SANTANA,JT,131118
JARDIM SANTA LUCRECIA,PJ,130349
PARQUE SANTO ANTÔNIO,CL,129064
JARDIM PARQUE MORUMBI,CL,128395
JARDIM NOVO PARELHEIROS,CS,126696
JARDIM MIRIAM,SA,126138
JARDIM CATANDUVA,CL,125108
CHÁCARA SANTA MARIA,CL,125043
PARQUE REGINA,CL,124150
JARDIM CIDADE PIRITUBA,PJ,121203
LAJEADO,G,118889
PARQUE BRISTOL,IP,117741
JARDIM RINCAO,PJ,116783
BELA VISTA,IP,116406
JARDIM CAMARGO,MP,116206
JARDIM ESMERALDA,BT,112856
CONJUNTO HABITACIONAL BARRO BRANCO II,G,111154
GUAIANAZES,G,109028
AMERICANÓPOLIS,SA,108444
PARQUE NOVO MUNDO,JT,106629
JARDIM ANHANGÜERA,PJ,104239
GUAPIRA,JT,103326
CIDADE PATRIARCA,PE,102627
VILA FANTON,PJ,101908
CIDADE LIDER,IQ,101801
PIRAJUSSARA,CL,101421
JARAGUÁ,PJ,101392
VILA SABRINA,JT,101355
PARQUE CÍSPER,PE,100499
JARDIM HELENA,MP,99597
SANTO AMARO,SA,99549
LAUZANE PAULISTA,JT,96308
PARQUE PAULISTANO,MP,95583
CIDADE KEMEL,MP,95319
VILA SOUZA,PJ,94094
JARDIM CAMARGO NOVO,MP,93860
VILA LOURDES,G,92619
CONJUNTO HABITACIONAL TEOTONIO VILELA,SM,92416
CAMBUCI,IP,91283
VILA DO SOL,CL,90896
JABAQUARA,SA,90888
JARDIM BRASILIA,IQ,90421
VILA ITAIM,MP,90152
CASA VERDE ALTA,FO,89605
SÃO MIGUEL PAULISTA,MP,88182
COHAB INACIO MONTEIRO,G,87932
JARDIM DOM JOSÉ,CL,87714
GUAIANASES,G,87610
VILA MARIA ALTA,JT,87451
MOOCA,PE,84762
CONJUNTO PROMORAR RIO CLARO,SM,84437
CHÁCARA DONA OLÍVIA,MP,84381
VILA DO ENCONTRO,SA,83938
CIDADE LÍDER,IQ,83738
JARDIM CAMPINAS,CS,83507
PERUS,PJ,83266
JARDIM SAPOPEMBA,SM,83225
JARDIM ELEDY,CL,82899
JARDIM MODELO,CL,82115
JARDIM ARPOADOR,BT,81453
VILA DAS BELEZAS,CL,80322
JARDIM NOVO SANTO AMARO,CL,80092
JARDIM NAKAMURA,CL,79349
JARDIM NORDESTE,PE,79160
JARDIM PAULISTANO (ZONA NORTE),FO,78822
JARDIM CAMPOS,MP,78633
ERMELINO MATARAZZO,PE,78511
PARQUE BOA ESPERANÇA,SM,77579
PARAISÓPOLIS,CL,77517
JARDIM HELENA,G,77111
PARQUE DOM JOÃO NERI,MP,76479
JARDIM FLORESTA,CS,76016
CONJUNTO HABITACIONAL RECANTO DOS HUMILD,PJ,75712
CIDADE DUTRA,CS,74159
JARDIM FONTALIS,JT,73515
PARQUE BOLOGNE,CL,73327
CONJ HAB MARECHAL MASCARENHAS DE MORAI,SM,73086
VILA GUILHERME,JT,72284
VILA PENTEADO,FO,72179
JARDIM MARACANÃ,FO,72173
VILA NOVA CURUCA,G,71468
PARQUE MANDAQUI,JT,70378
JORDANÓPOLIS,CS,70183
JARDIM BRASIL,JT,70012
CONJUNTO HABITACIONAL SANTA ETELVINA II,G,69519
PARQUE GUARANI,IQ,69390
PARQUE DO ENGENHO,CL,69225
VILA SONIA,BT,69222
PARQUE PANAMERICANO,PJ,68617
INSTITUTO DE PREVIDENCIA,BT,68185
CONJUNTO HABITACIONAL SANTA ETELVINA III,G,67873
JARAGUA,PJ,67406
JARDIM OFELIA,SA,67405
JARDIM PAULO VI,BT,67014
CIDADE NOVA SAO MIGUEL,MP,66496
VILA LAGEADO,PJ,66424
JARDIM VISTA ALEGRE,FO,66240
JARDIM MAIA,MP,66220
PARQUE CASA DE PEDRA,JT,65766
JARDIM SIPRAMAR,CS,64528
PARQUE DOROTEIA,SA,64348
PARQUE ARARIBA,CL,63564
PARQUE BOTURUSSU,PE,62981
JARDIM EDI,CS,62846
JAGUARE,PJ,62790
VILA FORMOSA,IQ,62765
JARDIM LIBANO,PJ,62710
VILA GILDA,CL,62474
SÃO MATEUS,SM,62413
PARQUE CISPER,PE,62164
JARDIM SILVA TELES,MP,61708
PARQUE GRAJAU,CS,61386
CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO,IQ,61291
JARDIM PLANALTO,MP,61052
JARDIM SANTO ANDRÉ,SM,60843
JARDIM SARAH,BT,60361
JARDIM AMALIA,CL,60242
COHAB INSTITUTO ADVENTISTA,CL,60229
CAPAO REDONDO,CL,59917
JARDIM DA CONQUISTA,SM,59879
PARQUE EDU CHAVES,JT,59869
JARDIM TRES CORACOES,CS,59234
JARDIM GUARANI,FO,58988
JARDIM CÉLIA,MP,58761
VILA INÁCIO,PJ,58565
FAZENDA DA JUTA,SM,58561
JARDIM NOVE DE JULHO,SM,58454
SÃO JOÃO CLÍMACO,IP,58439
VILA MISSIONARIA,SA,58363
CONJUNTO PROMORAR RAPOSO TAVARES,BT,58281
VILA BRASILINA,IP,58220
VILA ANDRADE,CL,58075
CANTINHO DO CÉU,CS,57543
CONJUNTO PROMORAR ESTRADA DA PARADA,FO,57389
JARDIM SANTA MARGARIDA,CL,57185
JARDIM BOM REFUGIO,CL,57050
VILA MESQUITA,PE,56745
PARQUE DE TAIPAS,PJ,56719
PARQUE SAO DOMINGOS,PJ,56680
VILA INDEPENDÊNCIA,IP,56444
JARDIM PARANÁ,FO,56393
CHÁCARA DA ENSEADA,CL,56390
CONJUNTO HABITACIONAL JARDIM SÃO BENTO,CL,56381
VILA PEREIRA BARRETO,PJ,55706
SANTA ETELVINA II B,G,55562
VILA RUBI,CS,55557
JARDIM CLIMAX,IP,55401
JARDIM GUAIANAZES,G,55297
INTERLAGOS,CS,55192
PARQUE VILA MARIA,JT,55190
PARQUE PERUCHE,FO,55008
JARDIM SANTA FE,PJ,54280
TATUAPÉ,PE,54256
JARDIM PEDRA BRANCA,G,53794
JARDIM MARIA SAMPAIO,CL,53651
JARDIM DA PEDREIRA,SA,53485
VILA MATILDE,PE,53388
VILA MARINA,FO,53065
PARQUE SAO RAFAEL,SM,52794
VILA PERUS,PJ,52594
LIBERDADE,IP,52580
JARDIM SYDNEY,PJ,52545
CATUMBI,PE,52452
JARDIM HELENA,IQ,52376
JARDIM ROSELI,SM,52118
JARDIM MARTINICA,CL,52104
PARQUE MARIA FERNANDES,CS,52068
VILA BELA,IP,51867
RAPOSO TAVARES,BT,51857
PARQUE DOS BANCARIOS,SM,51785
CIDADE SATÉLITE SANTA BÁRBARA,SM,51739
JARDIM POPULAR,PE,51662
COLÔNIA (ZONA SUL),CS,51640
JARDIM MARILU,SM,51319
JARDIM DAS FLORES,CL,51157
SAO JOAO CLIMACO,IP,51065
JARDIM CASABLANCA,CL,50947
CANGAÍBA,PE,50692
JARDIM SÃO PEDRO,IQ,50511
JARDIM TIETE,SM,50467
VILA MARARI,SA,50165
CIDADE ADEMAR,SA,50134
JARDIM PEDRO JOSE NUNES,MP,50052
PARQUE DAS FLORES,SM,50049
PARQUE CRUZEIRO DO SUL,MP,49995
PARQUE COCAIA,CS,49920
JARDIM MONTE BELO,PJ,49389
PARQUE SANTO ANTÔNIO,IQ,49242
VILA MOREIRA,PE,48538
VILA MARA,MP,48412
JARDIM JOÃO XXIII,BT,48345
CIDADE IPAVA,CL,47929
VILA AIMORÉ,MP,47652
PARQUE SANTA RITA,MP,47340
VILA NOVA MANCHESTER,IQ,47264
CAXINGUI,BT,47105
VILA TERESINHA,FO,46842
PARQUE NOVO SANTO AMARO,CL,46645
CANINDE,PE,46527
REAL PARQUE,BT,46517
JARDIM ESTER,BT,46500
JARDIM DA CONQUISTA (ZONA OESTE),PJ,45992
JARDIM UBIRAJARA,SA,45723
COHAB JARDIM PAULISTANO,PJ,45604
CHACARA SANTA MARIA,CL,45587
PARQUE LIGIA,CL,45396
JARDIM MARIA ESTELA,IP,45263
VILA NHOCUNE,PE,45175
JARDIM IBIRAPUERA,CL,44811
BRASILÂNDIA,FO,44371
PARQUE DOS BANCÁRIOS,SM,44366
VELEIROS,CS,44360
JARDIM BARTIRA,MP,44127
PARQUE DO LAGO,CL,44104
BALNEARIO SAO FRANCISCO,SA,44012
JARDIM SÃO VICENTE,MP,43701
SAÚDE,IP,43622
VILA ELZE,IP,43524
JARDIM PLANALTO,SM,43451
CONJUNTO HABITACIONAL INACIO MONTEIRO,G,43428
CIDADE SATELITE SANTA BARBARA,SM,43389
JARDIM LAURA,MP,43359
JARDIM COIMBRA,PE,43151
VILA GUSTAVO,JT,43108
JARDIM SAO PEDRO,IQ,42837
AMERICANOPOLIS,SA,42711
CIDADE SÃO MATEUS,SM,42435
CONJUNTO HABITACIONAL BRIGADEIRO FARIA L,CS,42419
JARDIM PIRITUBA,PJ,42361
PARQUE COLONIAL,SM,42204
CONJUNTO PROMORAR SÃO LUIS,CL,42101
JARDIM ITAPURA,SA,42014
VILA ALEXANDRIA,SA,41891
VILA GUARANI,SA,41778
JARDIM BELCITO,CS,41493
VILA HELENA,MP,41314
JARDIM REGIS,CS,41030
VILA AMERICANA,MP,41027
BOM RETIRO,IP,40967
JARDIM SANTA TERESINHA,IQ,40909
VILA DALVA,BT,40783
VILA BARBOSA,FO,40730
JARDIM DA LARANJEIRA (ZONA LESTE),SM,40655
VILA PALMEIRAS,FO,40491
VILA JAGUARA,PJ,40420
PARQUE SANTO ANTONIO,CL,40378
JARDIM VIRGINIA BIANCA,JT,40346
PARQUE INDEPENDENCIA,CL,40343
JARDIM UMARIZAL,CL,40195
VILA MAZZEI,JT,40044
JARDIM MANGALOT,PJ,39962
JARDIM NICE,IQ,39909
SACOMÃ,IP,39882
JARDIM DOS FRANCOS,FO,39844
JARDIM MARIA LUIZA,SA,39778
JARDIM CORISCO,JT,39442
JARDIM COMERCIAL,CL,39257
JARDIM LOURDES,G,39257
CHÁCARA INGLESA,PJ,39214
JARDIM GUARUJÁ,CL,39163
VILA ISABEL,FO,38891
JARDIM ADUTORA,SM,38859
PARQUE DOS PRÍNCIPES,BT,38857
JARDIM IMPERADOR,SM,38846
PARQUE SANTA MADALENA,SM,38732
JARDIM ELISA MARIA,FO,38573
JARDIM DUPRAT,CL,38566
VILA SANTA MARIA,CS,38468
JARDIM NOSSA SENHORA DO CARMO,IQ,38347
VILA EMA,IP,38324
SÍTIO MORRO GRANDE,PJ,38309
QUINTA DA PAINEIRA,IP,38146
JARDIM IGUATEMI,SM,38086
JARDIM SANTA EMÍLIA,IP,38025
JARDIM ESTER YOLANDA,BT,37887
VILA GOMES CARDIM,PE,37843
PARQUE MARIA DOMITILA,PJ,37778
VILA LEOPOLDINA,PJ,37767
JARDIM PIRACUAMA,CL,37668
JARDIM JAQUELINE,BT,37653
JARDIM PAULISTANO ZONA NORTE,FO,37604
VILA PEDRA BRANCA,JT,37557
PARQUE RESIDENCIAL COCAIA,CS,37422
ACLIMACAO,IP,37392
JARDIM JAPÃO,JT,37333
PLANALTO PAULISTA,IP,37298
CIDADE NOVA HELIÓPOLIS,IP,37271
JARDIM MARÍLIA,IQ,37179
PARQUE YPE,BT,37089
VILA CAMPESTRE,SA,37050
VILA GOMES,BT,37037
VILA MADALENA,BT,36937
VILA IOLANDA,G,36794
CONJUNTO HABITACIONAL SITIO CONCEIÇÃO,G,36783
CONJ PROMORAR RIO CLARO,SM,36712
JARDIM PENHA,PE,36625
CONJUNTO HABITACIONAL INÁCIO MONTEIRO,G,36426
PARQUE SANTO EDUARDO,IQ,36010
JD PEDRO JOSE NUNES,MP,35984
JARDIM MARIANE,CL,35958
COHAB SANTA ETELVINA II A,G,35906
VILA NOVA CACHOEIRINHA,FO,35902
VILA NOVA CURUCA,MP,35899
PARQUE PRIMAVERA,SA,35809
JARDIM CELESTE,BT,35786
JARDIM FLOR DE MAIO,JT,35776
COHAB SANTA ETELVINA II B,IQ,35581
VILA PRINCESA ISABEL,G,35542
VILA DIONÍSIA,FO,35497
COHAB JUSCELINO,G,35360
JARDIM YARA,JT,35308
JARDIM NORONHA,CS,35144
VILA ALBA,BT,35100
JARDIM VALE DAS VIRTUDES,CL,34819
COHAB MARECHAL MASCARENHAS DE MORAIS,SM,34775
VILA PROGRESSO (ZONA LESTE),MP,34699
CAMPININHA,SA,34677
JARDIM FERNANDES,IQ,34608
JARDIM BRASIL (ZONA NORTE),JT,34569
JARDIM PLANALTO,CL,34528
JARDIM SANTO ELIAS,PJ,34476
VILA BANCARIA MUNHOZ,FO,34452
JARDIM JARAGUA,PJ,34406
VILA PROGRESSO,MP,34352
CHACARA SANTO ANTONIO,SA,34346
VILA MARIANA,IP,34288
JARDIM BOA VISTA,BT,34245
CONJUNTO CITY JARAGUA,PJ,34151
CONJUNTO HABITACIONAL CASTRO ALVES,G,34093
VILA PREL,CL,34052
GRANJA NOSSA SENHORA APARECIDA,CS,34047
JARDIM WILMA FLOR,G,34026
PARQUE SEVILHA,PE,33787
JARDIM BRITANIA,PJ,33662
VILA PRIMAVERA,SM,33513
JD.CONSORCIO,SA,33504
JARDIM HERCILIA,PE,33436
VILA NASCENTE,CS,33435
JARDIM SANTA FE,CS,33434
CIDADE SAO MATEUS,SM,33413
CONJUNTO HABITACIONAL TURÍSTICA,PJ,33320
JARDIM SÃO PAULO(ZONA LESTE),G,33204
VILA RICA,FO,33110
JARDIM FANGANIELLO,G,33096
JARDIM DA SAUDE,IP,32981
VILA ISOLINA MAZZEI,JT,32965
VILA PIERINA,PE,32851
JARDIM AUGUSTO,SM,32747
JARDIM SÃO ROBERTO,SM,32745
VILA CONSTANÇA,JT,32688
VILA SOUZA,FO,32592
CONJ RESIDENCIAL JOSE BONIFACIO,IQ,32581
JARDIM ROBRU,MP,32579
VILA DOS PALMARES,PJ,32569
CIDADE SAO FRANCISCO,BT,32526
JARDIM MIRAGAIA,MP,32302
VILA ARICANDUVA,IQ,32243
JARDIM MATARAZZO,MP,32229
VILA CARRÃO,IQ,32135
VILA DALILA,PE,31915
VILA PAULICEIA,JT,31551
PARQUE MONTEIRO SOARES,FO,31510
JARDIM SÃO CARLOS (ZONA LESTE),MP,31438
CIDADE TIRADENTES, G,31388
VILA LIVIERO,IP,31133
JARDIM GRIMALDI,SM,31005
VILA DOMITILA,PE,30931
COLONIA ZONA SUL,CS,30916
CIDADE DOMITILA,SA,30742
JARDIM ICARAÍ,CS,30550
PARQUE SAO LUCAS,IP,30550
COHAB TEOTONIO VILELA,SM,30511
CHÁCARA SANTANA,CL,30433
JARDIM BONFIGLIOLI,BT,30294
VILA BARUEL,FO,30099
JARDIM RUSSO,PJ,30086
JARDIM TEREZA,IP,30082
VILA GUACURI,SA,29892
JARDIM SABARA,SA,29835
JARDIM BEATRIZ,CS,29796
VILA CONSTANCA,JT,29785
JARDIM PERI,FB,29771
JD SAPOPEMBA,SM,29731
VILA PALMEIRAS,PJ,29675
VILA BOM JARDIM,CL,29502
VILA SANTA CATARINA,SA,29470
JARDIM MARILU,PJ,29356
COHAB MONET,CL,29263
VILA SÃO NICOLAU,IP,29261
JARDIM CELESTE,IP,29120
JARDIM ELBA,SM,29111
JARDIM SANTA ADELIA,SM,28990
LIMÃO,FO,28952
JARDIM TRES MARIAS,PE,28938
JARDIM SANTA FÉ (ZONA OESTE),PJ,28822
JARDIM DA CONQUISTA ZONA OESTE,PJ,28745
JARDIM SAO ROBERTO,SM,28691
LIMOEIRO,MP,28683
JARDIM MARISA,PJ,28584
VILA CORDEIRO,BT,28548
BALNEÁRIO SÃO FRANCISCO,SA,28541
VILA PROGRESSO ZONA LESTE,MP,28150
JARDIM MODELO,JT,28107
PARADA INGLESA,JT,28028
PARQUE SÃO LUÍS,FO,27814
JARDIM DA LARANJEIRA ZONA LESTE,SM,27774
VILA ISA,SA,27703
VILA VERDE,IQ,27696
CONJUNTO HABITACIONAL SITIO CONCEICAO,G,27666
JARDIM VERGUEIRO,CL,27414
JARDIM ÂNGELA (ZONA SUL),CL,27394
CIDADE NOVA HELIOPOLIS,IP,27377
JARDIM GUANABARA,CS,27358
JARDIM SÃO NICOLAU,PE,27248
PARQUE MARIA LUIZA,IQ,27235
VILA ROQUE,FO,27126
JARDIM SANTA ADÉLIA,SM,27079
JARDIM BANDEIRANTE,SM,27053
VILA AURORA,PJ,26889
VILA CLEMENTINO,IP,26846
MOINHO VELHO,IP,26832
JARDIM SAO PAULOZONA LESTE,G,26815
JARDIM AUREA,G,26806
JARDIM SAO JOSE,CL,26767
PARQUE TOMAS SARAIVA,IP,26728
VILA ANGELICA,FO,26653
JARDIM LUSO,SA,26633
VILA RIO BRANCO,PE,26512
COHAB CASTRO ALVES,G,26455
JARDIM ÁUREA,G,26429
JARDIM ANDARAI,JT,26416
VILA SAO GERALDO,G,26389
BELENZINHO,PE,26376
JARDIM ANGELA,SM,26203
VILA CARAGUATA,IP,26181
CAPELA DO SOCORRO,CS,26165
CAMPO BELO,SA,26141
JARDIM CAMPO LIMPO,CL,25896
JARDIM REIMBERG,CS,25884
JARDIM TRÊS MARIAS,SM,25883
SUMARE,PJ,25842
VILA RIBEIRO DE BARROS,PJ,25363
CIDADE MÃE DO CÉU,PE,25207
ÁGUA FRIA,JT,25194
CHACARA INGLESA,IP,25051
CHACARA SANTANA,CL,25051
JARDIM VILA FORMOSA,IQ,25012
JARDIM SANTANA,MP,24895
VILA INVERNADA,PE,24812
VILA BRASILANDIA,FO,24629
JARDIM PEDRO JOSÉ NUNES,MP,24624
JARDIM MITSUTANI,CL,24516
JARDIM BRASIL ZONA NORTE,JT,24466
JARDIM PALMARES,SA,24375
BUTANTÃ,BT,24289
PARQUE SANTA BARBARA,CL,24206
JARDIM DENISE,JT,24167
VILA ARCÁDIA,FO,24090
JARDIM ANA LUCIA,CS,23608
JARDIM MARINGÁ,PE,23569
VILA BRASILÂNDIA,PJ,23548
JARDIM SAO JANUARIO,CL,23530
PARQUE TAIPAS,PJ,23522
VILA ANADIR,IP,23426
VILA CURUCA,MP,23331
VILA LEONOR,JT,23270
JAGUARÉ,PJ,23210
JARDIM SATELITE,CS,23113
CONJUNTO HABITACIONAL PADRE JOSÉ DE ANCH,PE,23039
VILA UNIÃO (ZONA LESTE),PE,23028
PARADA XV DE NOVEMBRO,IQ,22920
ENGENHEIRO GOULART,PE,22898
PARQUE FERNANDA,CL,22798
ITAIM PAULISTA, MP,22750
ARTUR ALVIM,PE,22742
JARDIM TABOAO,BT,22646
CONJUNTO HABITACIONAL INSTITUTO ADVENTIS,CL,22363
SÍTIO MORRO GRANDE,FO,22253
JARDIM DAMASCENO,FO,22233
JARDIM SAO JOSE,PJ,22126
ACLIMAÇÃO,IP,22098
VILA NOVA CURUÇÁ,MP,22064
JARDIM PAULISTANO ZONA NORTE,FB,21954
JAÇANÃ,JT,21705
JARDIM SANTO ANDRE,SM,21447
VILA OLIMPIA,BT,21339
JARDIM MATARAZZO,PE,21282
PARQUE BRASIL,CS,21244
JARDIM PRINCESA,FO,21243
JARDIM SHANGRILÁ (ZONA NORTE),PJ,21144
RECANTO VERDE DO SOL,SM,20986
BRAS,PE,20970
JDCONSORCIO,SA,20940
CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEI,PJ,20771
JARDIM AEROPORTO,SA,20716
VILA NOVA PARADA,PJ,20688
CONJUNTO RESIDENCIAL PRESTES MAIA,G,20639
JARDIM SANTA TEREZINHA (ZONA LESTE),IQ,20600
VILA BUENOS AIRES,PE,20586
VILA CALU,CL,20466
CONJUNTO HABITACIONAL JARDIM SAO BENTO,CL,20360
JARDIM CLIPER,CS,20245
VILA SANTA ISABEL,IQ,20215
VILA CALIFORNIA,IP,20119
JARDIM SANTA FÉ (ZONA SUL),CS,20076
VILA MIRANTE,PJ,19973
VILA LIBANESA,PE,19929
JARDIM ELIANE,IQ,19807
JARDIM RINCÃO,PJ,19803
JARDIM CASA GRANDE,CS,19665
VILA BELA VISTA (ZONA NORTE),FO,19642
VILA ALBERTINA,FO,19547
JARDIM MORENO,G,19470
CONJUNTO HABITACIONAL JUSCELINO KUBITSCH,G,19298
PARQUE BOA ESPERANCA, SM,19268
VILA HOMERO,PJ,19227
VILA RÉ,PE,19124
BARRA FUNDA,IP,19077
JARDIM CAMARGO VELHO,MP,19045
ITABERABA,FO,18879
VILA JACUÍ,MP,18755
JARDIM VILA MARIANA,IP,18725
PARQUE INDEPENDÊNCIA,CL,18719
JARDIM AMARO,SM,18590
JARDIM SÃO LUÍS (ZONA LESTE),MP,18429
CHÁCARA SANTA ETELVINA,G,18393
JARDIM SAO CARLOS ZONA LESTE,MP,18321
JARDIM SANTA FE ZONA OESTE,PJ,18290
JARDIM SANTA LUCRÉCIA,PJ,18232
JARDIM PANORAMA (ZONA LESTE),IP,18110
JARDIM EDUCANDARIO,BT,17862
JARDIM CLARICE,CL,17774
JARDIM BANDEIRANTES (ZONA NORTE),PJ,17760
JARDIM SANTA MARIA,IQ,17544
JARDIM CAROMBÉ,FO,17543
VILA SANTA LÚCIA,CL,17450
JARDIM GUAIRACA,IP,17381
SOCORRO,CS,17316
JARDIM BATAGLIA,BT,17307
JARDIM ANGELA ZONA SUL,CL,17255
PARQUE NACOES UNIDAS,PJ,17209
COLONIA ZONA LESTE,IQ,17075
PARELHEIROS,CS,17060
JARDIM SILVEIRA,CS,17052
JD COLONIA,IQ,16968
VILA ZELINA,IP,16935
VILA ZAT,PJ,16866
CIDADE VARGAS,SA,16851
CONJ HABIT PADRE MANOEL DA NOBREGA,PE,16848
JARDIM JULIETA,JT,16562
TUCURUVI,JT,16488
CANTINHO DO CEU,CS,16471
JARDIM IRACEMA,CL,16330
JARDIM VARGINHA,CS,16248
VILA AMELIA,FO,16247
VILA MONUMENTO,IP,16212
VILA SANTA MARIA,FO,16204
CASA VERDE ALTA,FB,16198
JARDIM FIGUEIRA GRANDE,CL,16155
JARDIM CAROMBE,FO,16151
JARDIM CONSORCIO,SA,15950
VILA NINA,FO,15874
PARQUE AMERICA,CS,15781
VILA MARILENA,G,15730
PIRITUBA,PJ,15664
UMARIZAL,CL,15661
CIDADE LEONOR,SA,15584
ITAQUERA, IQ,15568
VILA LOURDES,MP,15568
VILA ANTONIETA,IQ,15468
CONJUNTO PROMORAR SAPOPEMBA,SM,15382
CONJUNTO HABITACIONAL A E CARVALHO,IQ,15263
PARQUE SÃO LUCAS,IP,15262
JARDIM KAGOHARA,CL,15259
VILA TAQUARI,IQ,15220
JARDIM PÉROLA I,G,15212
JARDIM PERI, FB,15098
JARDIM SOARES,G,14989
VILA EDE,JT,14924
VILA NATAL,CS,14781
VILA PENTEADO,FB,14780
JARDIM CENTENARIO,FO,14762
CONSOLACAO,IP,14713
PARQUE SÃO RAFAEL,SM,14713
JARDIM IRAPIRANGA,CL,14627
VILA MARIA BAIXA,JT,14599
JARDIM RODOLFO PIRANI, SM,14587
ITAIM,MP,14568
VILA UNIAO ZONA LESTE,PE,14430
JARDIM LAPENA,MP,14399
JARDIM HELENA,SM,14392
VILA CLARICE,PJ,14338
PARQUE ARTUR ALVIM,PE,14329
CONJUNTO PROMORAR SAO LUIS,CL,14275
JARDIM NÉLIA,MP,14254
JARDIM CONSÓRCIO,SA,14184
SANTA ETELVINA II,G,14125
JARDIM AMÁLIA,CL,14111
JARDIM MARACANÃ,FB,13982
VILA NIVI,JT,13950
CHACARA CRUZEIRO DO SUL,PE,13936
JARDIM ANA LÚCIA,CS,13896
VILA ESTER,SM,13851
LUZ,IP,13819
CONJUNTO CITY JARAGUÁ,PJ,13815
JARDIM PAPAI NOEL,CS,13754
VILA NILO,JT,13583
IPIRANGA, IP,13414
JARDIM VISTA ALEGRE,FB,13370
JARDIM SÃO FRANCISCO,SM,13351
BRÁS,PE,13339
PARQUE TIETE,FO,13299
COHAB SANTA ETELVINA II,G,13286
VILA SILVIA,PE,13260
JARDIM DAS CAMELIAS,MP,13226
JARDIM SHANGRILA ZONA NORTE,PJ,13215
