BAIRRO,DRE,num_alunos
JARDIM BOM REFÚGIO,CL,13205
VILA BANCÁRIA,SM,13180
JARDIM MYRNA,CS,13161
JARDIM SANTA FE ZONA SUL,CS,13050
JARDIM BRASÍLIA (ZONA LESTE),IQ,13027
VILA ALPINA,IP,12997
CONJUNTO HABITACIONAL JOVA RURAL,JT,12967
PARQUE MARIA HELENA, CL,12942
PERDIZES,PJ,12909
PARQUE SAVOY CITY,IQ,12840
PENHA DE FRANCA,PE,12832
JARDIM SANTA TEREZINHA ZONA LESTE,IQ,12831
VILA PIRAJUSSARA,CL,12808
VILA DIVA (ZONA LESTE),PE,12728
VILA PARANAGUÁ,PE,12728
VILA CHABILANDIA,G,12712
CONJUNTO HABITACIONAL FAZENDA DO CARMO,G,12676
VILA SIMONE,MP,12668
RECANTO CAMPO BELO,CS,12665
JARDIM PARQUE MORUMBI,BT,12596
MANDAQUI,JT,12564
PINHEIROS,BT,12545
PARAISÓPOLIS,BT,12376
CONJUNTO HABITACIONAL PADRE MANOEL DA NÓ,PE,12370
GLEBA DO PÊSSEGO,IQ,12363
JARDIM SÔNIA REGINA,CL,12174
JARDIM DAS OLIVEIRAS, MP,12078
ALTO DA LAPA,PJ,12075
JARDIM SANTA TEREZINHA (ZONA LESTE),G,12025
JARDIM SÃO JOSÉ,CL,12013
JARDIM MACEDÔNIA,CL,11979
PARQUE DAS PAINEIRAS,PE,11921
JARDIM BELÉM,PE,11863
BAIRRO DO LIMOEIRO,MP,11850
JARDIM PARQUE MORUMBI, CL,11846
JARDIM PANORAMA ZONA LESTE,IP,11840
BROOKLIN NOVO,SA,11713
JARDIM GUARANI,FB,11684
JARDIM UMUARAMA,CL,11635
CIDADE ANTÃ”NIO ESTEVÃƒO DE CARVALHO, IQ,11597
JARDIM SÃO BERNARDO,CS,11542
JARDIM SAO CARLOS,MP,11531
CAPÃO REDONDO,CL,11509
CASA VERDE,FO,11502
JARDIM MONTE ALEGRE,FO,11495
CAMPOS ELÍSEOS,IP,11466
VILA BABILÔNIA,SA,11385
ARTHUR ALVIM,PE,11340
VILA CARDOSO FRANCO,SM,11323
JARDIM ADELFIORE,PJ,11321
JARDIM RAPOSO TAVARES,BT,11271
JARDIM CACHOEIRA,FO,11176
JARDIM ARTUR ALVIM,PE,11170
JARDIM PRUDÊNCIA,SA,11157
JARDIM ETELVINA,G,11144
JARDIM SAO LUIS ZONA LESTE,MP,11115
JARDIM BANDEIRANTES ZONA NORTE,PJ,11100
CANGAIBA,PE,11073
JARDIM CECY,FO,11055
PARAÍSO DO MORUMBI,CL,11049
JARDIM COTINHA,PE,11046
VILA REGINA,IQ,11038
JARDIM RUBILENE,SA,10936
VILA ROMANA,PJ,10915
JARDIM NAZARETH,MP,10900
JARDIM D ABRIL,BT,10894
VILA SANTA INES,MP,10887
VILA NOVA ALBA,BT,10855
JARDIM SANTA TEREZINHA ZONA LESTE,G,10685
VILA NOVA UNIÃO,MP,10679
CHÁCARA NANI,CL,10654
JARDIM SAMARA,CL,10634
GUARAPIRANGA,CL,10633
JARDIM SAO SAVERIO,IP,10619
VILA SEABRA,MP,10608
JARDIM PAULISTANO ZONA NORTE, FB,10534
JARDIM ELIANA,CS,10533
CONJUNTO PROMORAR ESTRADA DA PARADA,FB,10390
JARDIM DRACENA,BT,10378
JARDIM ITACOLOMI,SA,10361
JARDIM JAPAO,JT,10361
CONJUNTO HABITACIONAL FAZENDA DO CARMO,IQ,10343
VILA COSMOPOLITA,G,10336
JARDIM DOS ALAMOS,CS,10335
PARQUE PERUCHE,FB,10192
JARDIM CATANDUVA, CL,10175
VILA CUNHA BUENO,SM,10174
PARQUE SONIA,MP,10140
VILA DA PAZ,CS,10130
CONJUNTO HABITACIONAL PADRE MANOEL DE PA,PE,10114
JARDIM MIRIAM, SA,10106
BRASILÂNDIA,FB,10092
SANTANA, JT,10073
PARQUE JABAQUARA,SA,10049
PARQUE GUAIANAZES,G,10022
JARDIM SANTA LUCRECIA, PJ,10017
JARDIM ORIENTAL,SA,9980
JARDIM MARILDA,CS,9977
PARQUE SANTO ANTÃ”NIO, CL,9970
VILA MARINA,FB,9940
JARDIM CAPELINHA,CL,9895
RIO BONITO,CS,9870
VILA CAROLINA,MP,9863
JARDIM CIDADE PIRITUBA, PJ,9821
JARDIM SANTA JOSEFINA,CL,9804
PARQUE IPÊ,CL,9781
CONJUNTO RESIDENCIAL JOSE BONIFACIO,IQ,9728
JARDIM IPANEMA,PJ,9724
JARDIM MONJOLO,FO,9706
PARQUE NAÇÕES UNIDAS,PJ,9706
CIDADE D ABRIL,PJ,9698
CIDADE JÚLIA,SA,9585
VILA PARQUE JABAQUARA,SA,9582
VILA GUILHERMINA,PE,9553
AMERICANÃ“POLIS, SA,9552
PARQUE REGINA, CL,9550
JARDIM ÂNGELA (ZONA LESTE),SM,9518
VILA CONSTANCIA,JT,9503
SAUDE,IP,9491
COLÔNIA (ZONA LESTE),IQ,9455
VILA BEATRIZ,PE,9399
VILA CARRAO,IQ,9377
JARDIM SÃO JOÃO (ZONA NORTE),JT,9375
VILA CURUÇÁ,MP,9320
JARDIM AURORA,G,9288
JARDIM DAS PEDRAS,JT,9248
VILA CALIFÓRNIA,IP,9222
JARDIM APURÁ,SA,9173
VILA SÍLVIA,PE,9138
JARDIM NOVO PARELHEIROS, CS,9123
JARDIM VERA CRUZZONA SUL,CL,9110
REPUBLICA,IP,9087
JARDIM RINCAO, PJ,9083
JARDIM ANTÁRTICA,FO,9053
VILA PRUDENTE,IP,9053
JARDIM NELIA,MP,9048
COHAB PADRE JOSE DE ANCHIETA,PE,9046
JARDIM KERALUX,PE,8961
JARDIM CAMARGO, MP,8926
JARDIM BRASILIA,CL,8905
PENHA DE FRANÇA,PE,8903
VILA RE,PE,8884
VILA TERESINHA,FB,8884
JARDIM SANTA TERESINHA,SA,8882
VILA AUREA,G,8873
VILA REMO,CL,8872
JARDIM ALMEIDA PRADO,CS,8853
JARDIM PEDRA BRANCA,IQ,8760
VILA RUI BARBOSA,PE,8750
LAJEADO, G,8739
JARDIM AURÉLIO,CL,8736
VILA MEDEIROS,JT,8731
JARDIM BRASILIA ZONA LESTE,IQ,8700
CIDADE KEMEL, MP,8667
JARDIM PARANÁ,FB,8648
JARDIM CAPELA,CL,8626
CONJ PROMORAR ESTRADA DA PARADA,FO,8602
PARQUE BRISTOL, IP,8591
BELA VISTA, IP,8589
JARDIM BOTUCATU,IP,8554
JARDIM CLÁUDIA,BT,8496
VILA DIONISIA,FO,8456
JARDIM DOS FRANCOS,FB,8451
TERCEIRA DIVISAO,SM,8450
GUAPIRA, JT,8449
CONJUNTO HABITACIONAL BARRO BRANCO II, G,8443
BALNEÁRIO MAR PAULISTA,SA,8442
JARDIM MARISTELA,FO,8405
PARQUE PAULISTANO, MP,8404
CHÃCARA SANTA MARIA, CL,8402
PARQUE NOVO MUNDO, JT,8402
RESIDENCIAL SOL NASCENTE,PJ,8386
CIDADE PATRIARCA, PE,8382
JARDIM TABOÃO,BT,8356
CONJUNTO HABITACIONAL ÁGUIA DE HAIA,IQ,8346
VILA SANTISTA,FO,8283
VILA CRUZEIRO,G,8261
JARDIM GUANHEMBU,CS,8255
QUARTA PARADA,PE,8243
VILA BARBOSA,FB,8240
VILA INÃCIO, PJ,8227
VILA SANTA TERESINHA,IQ,8207
JARDIM LIDIA,CL,8203
VILA MORAES,IP,8194
JARDIM GUARUJA,CL,8170
VILA BELA VISTA,FO,8162
CERQUEIRA CÉSAR,BT,8151
VILA FACHINI,SA,8129
VILA UNIAO,PE,8125
GUAIANAZES, G,8122
JARDIM HELGA,CL,8118
JARDIM SHANGRILA ZONA SUL,CS,8110
JARDIM JARAGUÁ,PJ,8109
VILA CARMOSINA,IQ,8107
JARDIM MARTINI,SA,8103
CASA VERDE ALTA, FB,8099
VILA IMPÉRIO,SA,8091
JARDIM HEBRON,JT,8079
JARDIM ANHANGÃœERA, PJ,8058
PARQUE BELEM,FO,7999
JARDIM LEÔNIDAS MOREIRA,CL,7991
JARDIM CAMARGO NOVO, MP,7963
RIO PEQUENO,BT,7958
VILA DIVA ZONA LESTE,PE,7955
VILA MISSIONÁRIA,SA,7944
JARDIM EDITH,CS,7943
VILA MARIA,JT,7929
JARDIM SAO JOAO ZONA NORTE,JT,7920
VILA SAO SILVESTRE,MP,7917
JARDIM DANFER,PE,7904
VILA DOM PEDRO II,JT,7904
VILA CLARA,SA,7895
COHAB SITIO CONCEICAO,G,7891
VILA HELIÓPOLIS,IP,7891
JARDIM NOVA TEREZA,PE,7865
JARDIM HELENA, MP,7854
VILA MANGALOT,PJ,7853
JARDIM SAO FRANCISCO,CL,7852
VILA NOVA CACHOEIRINHA,FB,7847
JARDIM CAMPO GRANDE,SA,7846
COHAB BARRO BRANCO II,G,7826
CIDADE LIDER, IQ,7815
JARDIM MIRIAM,MP,7812
VILA SABRINA, JT,7781
LAUZANE PAULISTA, JT,7743
JARDIM SOMARA,CS,7732
JARDIM REPUBLICA,CS,7722
SAO MIGUEL PAULISTA,MP,7702
JARDIM ALADIM,CS,7657
VILA DO ENCONTRO, SA,7645
PARQUE SANTA AMÉLIA,MP,7631
PARQUE TOMAZ SARAIVA,IP,7631
JARDIM KIOTO,CS,7628
SANTO AMARO, SA,7622
PARQUE IPE,CL,7619
JARDIM DOM JOSÃ‰, CL,7615
JARDIM ANGELA ZONA LESTE,SM,7600
VILA BELA VISTA ZONA NORTE,FO,7575
JARDIM IMBÉ,CL,7566
COHAB JARDIM SAO BENTO,CL,7553
VILA GUIOMAR,CL,7546
JARDIM SAO PAULO,JT,7540
VILA VITORIO MAZZEI,JT,7527
PARQUE DA VILA PRUDENTE,IP,7524
PIQUERI,PJ,7512
VILA ITAIM, MP,7504
VILA CONDE DO PINHAL,IP,7493
JARDIM ROMANO,MP,7462
VILA SÃO FRANCISCO,BT,7462
JARDIM SHANGRILÁ (ZONA SUL),CS,7419
VILA DORNA,JT,7414
JARDIM SOUZA,CL,7397
JARDIM ELISA MARIA,FB,7394
VILA PENTEADO, FB,7390
VILA ANGLO BRASILEIRA,PJ,7371
JARDIM SAO JOAQUIM,CL,7365
JARDIM MARIA VIRGINIA,CL,7356
VILA PALMEIRAS,FB,7351
JARDIM SAO GONCALO,SM,7342
INDIANÓPOLIS,IP,7315
JARDIM IRENE,G,7304
CONJUNTO HABITACIONAL TEOTONIO VILELA, SM,7286
VILA ANASTACIO,PJ,7280
JARDIM ESMERALDA, BT,7255
VILA CARIOCA,IP,7253
VILA SOUZA, PJ,7238
VILA LOURDES, G,7229
JARDIM NOVO SANTO AMARO, CL,7225
JARDIM LAJEADO,G,7213
CHACARA INGLESA,PJ,7208
VILA IOLANDA II,G,7208
VILA ISABEL,FB,7202
VILA ROSARIA,MP,7180
JARDIM DONA SINHÁ,SM,7179
VILA CUNHA BUENO,IP,7150
CAMBUCI, IP,7136
PERUS, PJ,7130
PARQUE SÃO MIGUEL,CS,7120
JARDIM VERA CRUZ,SM,7117
CHÁCARA BELENZINHO,IQ,7110
SANTA CECÍLIA,IP,7062
JARDIM LUCÉLIA,CS,7054
VILA INACIO,PJ,7040
CIDADE LÃDER, IQ,7036
SÍTIO DO MANDAQUI,FO,7031
VILA PAULISTANA,JT,7007
JARDIM MARACANÃƒ, FB,6991
RIVIERA PAULISTA,CL,6983
JARDIM REDIL,IQ,6975
JARDIM BANDEIRANTES,SA,6970
VILA FANTON, PJ,6958
JARDIM GONZAGA,PE,6954
JARDIM AMÉRICA DA PENHA,PE,6950
HIGIENÓPOLIS,IP,6948
LIMÃO,FB,6934
JARDIM PATENTE NOVO,IP,6929
JARDIM NAIR,MP,6926
JARDIM VIVAN,PJ,6913
PARQUE CÃSPER, PE,6912
JARDIM VERA CRUZ(ZONA LESTE),SM,6899
ITAIM BIBI,BT,6890
JARDIM ANDARAÍ,JT,6870
JARDIM CAMPINAS, CS,6860
CONJ PROMORAR SAPOPEMBA,SM,6838
JARDIM CATARINA,IQ,6825
VILA SÔNIA,BT,6798
COHAB INACIO MONTEIRO, G,6764
GUAIANASES, G,6751
JARDIM BRASILIA, IQ,6751
JARDIM SÃO JOAQUIM,CL,6734
PARQUE CRUZEIRO DO SUL,IQ,6734
JARDIM SANTA CRUZ (ZONA NORTE),FO,6719
JARDIM PÉROLA II,G,6699
VILA CONGONHAS,SA,6695
55,G,6688
TAIPAS,PJ,6675
JARDIM SUL SAO PAULO,SA,6669
VILA ORATÓRIO,PE,6669
VILA NAIR,IP,6658
SÃƒO MIGUEL PAULISTA, MP,6646
JARDIM SANTO ALBERTO,JT,6643
PARQUE IPÊ,BT,6642
VILA SOUZA,FB,6634
VILA FAZZEONI,CL,6613
COLONIA ZONA SUL, CS,6572
VILA FRIBURGO,CS,6565
MORRO DO ÍNDIO,CL,6556
SÍTIO DO PIQUERI,JT,6552
AGUA BRANCA,PJ,6547
JARDIM DAS CAMELIAS,CS,6500
MOOCA, PE,6486
VILA JOANIZA,SA,6480
JARDIM VISTA ALEGRE, FB,6477
PARAISÃ“POLIS, CL,6471
VILA DIONÍSIA,FB,6454
JARDIM TEREZA,FO,6444
JARDIM NORDESTE, PE,6421
VILA CRISTO REI,FO,6413
JARDIM TIETÊ,SM,6390
CONJ JOSE BONIFACIO,IQ,6383
VILA PIAUI,PJ,6324
CONJUNTO HABITACIONAL SANTA ETELVINA III, G,6316
JARDIM ARPOADOR, BT,6311
JARDIM SAO BERNARDO,CS,6272
VILA BANCARIA MUNHOZ,FB,6264
VILA SANTO ESTÉFANO,IP,6264
JARDIM NAKAMURA, CL,6243
JARDIM BONITO,CS,6227
JARDIM MIRIAM,G,6222
JARDIM SANTA BÁBARA,SM,6214
VILA MASCOTE,SA,6191
JARDIM CAMPOS, MP,6189
PIRAJUSSARA, CL,6182
JARDIM PIRATININGA,PE,6176
PARI,PE,6143
JARDIM TUA,MP,6110
PARQUE COLONIAL,CS,6110
JARDIM SÃO JORGE,BT,6095
JARDIM IVANA,BT,6090
JARDIM VILA CARRAO,SM,6082
JARDIM TRUSSARDI,BT,6077
JARDIM MELIUNAS,MP,6071
PARQUE ALVES DE LIMA,CL,6067
ERMELINO MATARAZZO, PE,6062
JARDIM SÃO BENTO NOVO,CL,6054
JARDIM DA CONQUISTA (ZONA LESTE),SM,6034
JARDIM CAMARGO NOVO,G,6032
VILA RICA,FB,6020
VILA DAS MERCÊS,IP,6013
JARDIM DAS ESMERALDAS,BT,5993
JARDIM OLYMPIA,BT,5989
JARDIM ANGELA,CL,5980
VILA DANUBIO AZUL,MP,5967
VILA CONSTANCA, JT,5957
VILA BARUEL,FB,5954
PARQUE PANAMERICANO, PJ,5926
VILA ANTÔNIO,BT,5919
JARDIM SÃO PEDRO (ZONA SUL),CS,5916
JARDIM SAO VICENTE,MP,5915
VILA MARIA ALTA, JT,5911
PARQUE GUARANI, IQ,5891
PARQUE DOM JOÃƒO NERI, MP,5883
JARDIM FLORESTA, CS,5876
VILA MINERVA,G,5876
CONJUNTO HABITACIONAL SANTA ETELVINA II, G,5867
JARDIM SÃO SAVÉRIO,IP,5866
JARDIM LUCIA,BT,5850
VILA DO SOL, CL,5850
JARDIM GUARANI, FB,5842
JARDIM CASTRO ALVES,CS,5839
VILA DOM PEDRO I,IP,5837
VILA MOINHO VELHO,IP,5833
CONJUNTO HABITACIONAL RECANTO DOS HUMILD, PJ,5824
VILA GUILHERME, JT,5820
VILA PAULISTA I,G,5810
JARDIM SORAIA,CL,5808
CIDADE MONCOES,BT,5805
JARDIM SANTO ANDRÃ‰, SM,5805
VILA PAULISTANIA,PE,5798
CHÁCARA MAFALDA,IQ,5779
PARQUE AMÉRICA,CS,5777
VILA GUMERCINDO,IP,5772
VILA ESPERANÇA,PE,5751
JARDIM DA CONQUISTA ZONA OESTE, PJ,5749
JARDIM AVELINO,IP,5736
JARDIM LEONOR MENDES DE BARROS,JT,5716
CONJUNTO PROMORAR RIO CLARO, SM,5698
BARRO BRANCO (ZONA NORTE),JT,5696
JARDIM IDEAL,CS,5694
JARDIM PLANALTO, MP,5694
VILA NOVA CURUCA, G,5686
JARDIM SANTA CRUZ ZONA NORTE,FO,5661
JARDIM FONTALIS, JT,5655
JARDIM SÃO LUÍS,CL,5654
PARQUE SÃO LUÍS,FB,5636
JARDIM AURORA ZONA LESTE,G,5631
VILA PROGRESSO ZONA LESTE, MP,5630
JARDIM COIMBRA,CL,5623
CONJ HAB MARECHAL MASCARENHAS DE MORAI, SM,5622
FAZENDA MORUMBI,CL,5592
JARDIM ALMEIDA,CS,5583
PARQUE BOTURUSSU, PE,5566
ELDORADO,SA,5555
JARDIM MARQUESA,CL,5553
JARDIM GERMÂNIA,CL,5549
JARDIM ROSINHA,PJ,5540
JARDIM EVA,MP,5538
PARQUE MANDAQUI, JT,5520
CIDADE MAE DO CEU,PE,5512
VILA ROSEIRA II,G,5512
JARDIM CAROLINA,MP,5503
JARDIM NOVE DE JULHO, SM,5503
CIDADE DUTRA, CS,5502
INSTITUTO DE PREVIDÊNCIA,BT,5474
VILA JUREMA,MP,5458
JARDIM SILVA TELES, MP,5434
JORDANÃ“POLIS, CS,5387
CHACARA SANTO ANTONIO,IQ,5382
JARDIM SANTA TERESINHA,CS,5382
VILA SANTA CRUZ (ZONA LESTE),G,5376
PARQUE BOLOGNE, CL,5374
PARAISOPOLIS,BT,5364
CHÁCARA MAFALDA,PE,5362
JARDIM AURORA (ZONA LESTE),G,5361
ALTO DA RIVIERA,CL,5354
JARDIM BRASIL, JT,5352
JARDIM DA CONQUISTA ZONA LESTE,SM,5340
PARQUE DO ENGENHO, CL,5325
JARDIM CENTENÁRIO,FO,5324
JARDIM IMPERADOR ZONA LESTE,SM,5320
VILA SÃO FRANCISCO (ZONA LESTE),PE,5314
VILA INGLESA,SA,5310
VILA FORMOSA, IQ,5297
VILA CAMPANELA,IQ,5296
JARDIM CRISTAL,CS,5291
VILA LÚCIA,IP,5288
PARQUE ALTO DO RIO BONITO,CS,5278
PARQUE MONTEIRO SOARES,FB,5278
CONJUNTO RESIDENCIAL JOSÃ‰ BONIFÃCIO, IQ,5275
JARDIM JOAMAR,JT,5275
VILA SIQUEIRA (ZONA NORTE),FO,5272
VILA CONSTANÇA,SA,5269
JARAGUÃ, PJ,5265
PARQUE GUAIANASES,G,5265
JARDIM MAIA, MP,5263
BURGO PAULISTA,PE,5262
PARQUE DO LAGO, CL,5259
JARDIM VERA CRUZZONA LESTE,SM,5255
INSTITUTO DE PREVIDENCIA, BT,5245
CARANDIRU,JT,5239
JARDIM ITAPEMA,IQ,5239
CIDADE IPAVA, CL,5228
CONJUNTO PROMORAR ESTRADA DA PARADA, FB,5195
PARQUE SÃO DOMINGOS,PJ,5186
JARDIM OFELIA, SA,5185
FERREIRA,BT,5184
JARAGUA, PJ,5176
JARDIM NORMA,IQ,5173
VILA LAGEADO, PJ,5165
CONJ HABIT JUSCELINO KUBITSCHEK,G,5161
JARDIM PEDREIRA,SA,5161
JARDIM BELCITO, CS,5152
JARDIM RIZZO,BT,5148
JARDIM HELENA, G,5145
JARDIM SUL SÃO PAULO,SA,5130
PARQUE DOROTEIA, SA,5126
JACANA,JT,5125
PEDREIRA,SA,5113
PARQUE PERUCHE, FB,5096
CIDADE NOVA SAO MIGUEL, MP,5094
JARDIM BRASIL ZONA NORTE, JT,5090
PARQUE CASA DE PEDRA, JT,5088
VILA BAUAB,PE,5088
JARDIM SAPOPEMBA, SM,5085
VILA VITÓRIO MAZZEI,JT,5083
PARQUE ARARIBA, CL,5060
PARQUE FONGARO,IP,5060
JARDIM ELEDY, CL,5052
VILA ANDRADE, CL,5051
VILA BELA VISTA ZONA NORTE,FB,5050
JARDIM EDI, CS,5049
JARDIM MONTE AZUL,CL,5049
JARDIM BANDEIRANTE (SÃO RAFAEL),SM,5048
BRASILÃ‚NDIA, FB,5046
CONJUNTO HABITACIONAL SITIO CONCEICAO, G,5042
PARQUE GUARANI,MP,5005
VALO VELHO,CL,5005
VILA SONIA, BT,4998
VILA MARINA, FB,4970
JARDIM OLINDA,CL,4969
CONJUNTO PROMORAR VILA MARIA III,JT,4966
JARDIM SÃO JORGE (RAPOSO TAVARES),BT,4954
VILA GILDA, CL,4946
JARDIM DAMASCENO,FB,4938
JARDIM SAO PAULOZONA LESTE, G,4934
VILA ROQUE,FB,4932
JARDIM GUARUJÃ, CL,4929
BOSQUE DA SAÚDE,IP,4928
JARDIM DO CAMPO,G,4927
JARDIM SAO RAFAEL,CS,4927
CAPÃO DO EMBIRA,IQ,4915
JARDIM SAO JORGE RAPOSO TAVARES,BT,4885
CIDADE SATÃ‰LITE SANTA BÃRBARA, SM,4878
JARDIM COLONIAL,CS,4877
CHÃCARA DA ENSEADA, CL,4876
IMIRIM,JT,4849
VILA ANGELICA,FB,4846
JABAQUARA, SA,4843
VILA REGENTE FEIJÓ,PE,4837
JAGUARE, PJ,4827
FREGUESIA DO O,FO,4826
JD SAO SAVERIO,IP,4823
VILA BRASILINA, IP,4819
VILA BASILEIA,JT,4810
JARDIM LIBANO, PJ,4808
JARDIM GUANCA,JT,4801
SÃƒO MATEUS, SM,4801
VILA PERUS, PJ,4796
VILA BUARQUE,IP,4795
VILA SILVA TELES,MP,4786
JD ROBRU,MP,4784
JARDIM TRES CORACOES, CS,4768
PARQUE CISPER, PE,4766
VILA DOS REMEDIOS,PJ,4748
VILA NOVA GALVAO,JT,4744
JARDIM SIPRAMAR, CS,4738
CHACARA SAO JOAO,PJ,4732
PARQUE GRAJAU, CS,4722
FAZENDA DA JUTA, SM,4705
TREMEMBÉ,JT,4702
VILA CAMPANELLA,IQ,4696
JARDIM MARILIA,IQ,4693
JARDIM SAO MARTINHO,MP,4689
JARDIM SARAH, BT,4683
JARDIM MODELO, CL,4678
JARDIM DA LARANJEIRA ZONA LESTE, SM,4660
PARQUE SANTO AMARO,CL,4646
JARDIM MIRANTE,CL,4642
JARDIM AMALIA, CL,4634
COHAB INSTITUTO ADVENTISTA, CL,4633
JARDIM DAS IMBUIAS,CS,4626
CHÃCARA DONA OLÃVIA, MP,4623
HIGIENOPOLIS,IP,4622
CIDADE SÃƒO MATEUS, SM,4617
ENGENHEIRO MARSILAC,CS,4616
CAPAO REDONDO, CL,4609
ACLIMACAO, IP,4600
JARDIM ELZA,MP,4589
JARDIM CENTENÁRIO,G,4587
JARDIM DA PEDREIRA, SA,4587
VILA NOVA CURUCA, MP,4583
JARDIM UBIRAJARA ZONA SUL,SA,4571
JARDIM GUAIANAZES, G,4569
JARDIM LISBOA,PE,4563
VILA ROBERTINA,PE,4561
JARDIM DA CONQUISTA, SM,4543
JARDIM ESTRELA DALVA,JT,4543
MORADA DO SOL,PJ,4537
VILA DAS BELEZAS, CL,4534
JARDIM CASABLANCA, CL,4533
VILA LAGEADO,BT,4524
PARQUE EDU CHAVES, JT,4518
CHÁCARA SÃO SILVESTRE,CS,4511
VILA MIRIAM,PJ,4511
PARADA XV DE NOVEMBRO,G,4510
CONJUNTO PROMORAR RAPOSO TAVARES, BT,4509
SE,IP,4498
VILA MISSIONARIA, SA,4494
PACAEMBU,IP,4491
PARQUE DAS CEREJEIRAS,CL,4488
JARDIM PERI,JT,4487
VILA BRASILANDIA,FB,4478
JARDIM ALMANARA,FO,4477
JARDIM PRINCESA,FB,4468
VILA INDEPENDÃŠNCIA, IP,4460
BARRO BRANCO,G,4459
JARDIM DAS GRACAS,FO,4453
LIMOEIRO,IQ,4446
VILA CHUCA,IQ,4446
JARDIM SAO JOAO JARAGUA,PJ,4435
JARDIM DAS VERTENTES,BT,4433
VILA CENTENÁRIO,PE,4433
JARDIM SANTA MARGARIDA, CL,4425
JARDIM VERGUEIRO,IP,4416
JARDIM MARABÁ,IQ,4390
VILA MARIETA,PE,4381
VILA ARCÁDIA,FB,4380
CONJUNTO PROMORAR SÃƒO LUIS, CL,4375
SACOMÃƒ, IP,4369
SÍTIO CARAGUATA,IP,4368
VILA MATILDE, PE,4368
JARDIM BOM REFUGIO, CL,4366
VILA MESQUITA, PE,4365
PARQUE DE TAIPAS, PJ,4363
PARQUE SAO DOMINGOS, PJ,4360
CUPECÊ,SA,4355
JD SILVEIRA,CS,4355
SÍTIO ITABERABA I,PJ,4350
JARDIM MARIA FERNANDES,CS,4339
PARQUE MARIA FERNANDES, CS,4339
CONJUNTO HABITACIONAL JARDIM SÃƒO BENTO, CL,4337
VILA PEREIRA BARRETO, PJ,4337
JARDIM PEREIRA LEITE,FO,4334
MORUMBI,BT,4333
SICILIANO,PJ,4330
JARDIM PARANÃ, FB,4324
VILA BELA, IP,4319
PARQUE SAVOI CITY,IQ,4314
VILA JARAGUÁ,PJ,4291
VILA AGUA FUNDA,IP,4290
VILA POMPÉIA,PJ,4277
SANTA ETELVINA II B, G,4274
VILA AURORA, PJ,4274
LIBERDADE, IP,4270
JARDIM SAO BENEDITO,CS,4264
JARDIM NOVO HORIZONTE,CS,4255
TATUAPÃ‰, PE,4252
JARDIM DAS LARANJEIRAS,SM,4251
JARDIM CLIMAX, IP,4243
ALTOS DE VILA PRUDENTE,SM,4238
JARDIM ARANTES,SM,4238
VILA NOVA MAZZEI,JT,4234
