BAIRRO,DRE,num_alunos
JARDIM JARAGUA ITAIM PAULISTA,MP,4215
JARDIM VISTA LINDA,PJ,4214
PARQUE ITABERABA,FO,4214
JARDIM ANGELINA,CS,4212
SAÃšDE, IP,4212
JARDIM PAULO VI, BT,4209
PARQUE DO MORUMBI,CL,4208
JARDIM HELENA, IQ,4202
RECANTO MARISA,CS,4200
VILA CALIFORNIA,CS,4199
JDCONSORCIO, SA,4188
CHACARA TATUAPE,PE,4186
JARDIM PRUDENCIA,SA,4186
ITABERABA,FB,4164
JARDIM SAO PAULO,G,4160
PARQUE NOVO GRAJAÚ,CS,4160
JARDIM ARACATI,CL,4159
VILA TERESINHA, FB,4159
JARDIM UBIRAJARA (ZONA SUL),SA,4148
CATUMBI, PE,4140
JARDIM SANTA FE, PJ,4140
JARDIM PEDRA BRANCA, G,4138
CONJ HABIT BRIGADEIRO FARIA LIMA,CS,4134
CANTINHO DO CÃ‰U, CS,4133
JARDIM MARIA SAMPAIO, CL,4127
PARQUE RESIDENCIAL COCAIA, CS,4123
JARDIM MARIA RITA,CS,4121
VILA BARBOSA, FB,4120
VILA LAÍS,PE,4116
MIRANDOPOLIS,IP,4114
SUMAREZINHO,BT,4108
MOÓCA,PE,4099
VILA BONILHA,PJ,4095
JARDIM MARILU, SM,4089
CONSOLAÇÃO,IP,4088
CIDADE A E CARVALHO,PE,4082
PARQUE VILA MARIA, JT,4082
JARDIM VERÔNIA,PE,4069
PQ BRISTOL,IP,4069
JARDIM POPULAR, PE,4065
VILA POLOPOLI,BT,4056
JARDIM SYDNEY, PJ,4055
JARDIM DAS FLORES, CL,4051
CHÁCARA FLÓRIDA,CL,4047
SÍTIO MORRO GRANDE,FB,4046
JARDIM SAO JOSE,CS,4043
JARDIM ROSELI, SM,4032
CONJ RESID ELISIO TEIXEIRA LEITE,PJ,4030
LAPA DE BAIXO,PJ,4030
MARANHÃO,PE,4030
JARDIM ESTER, BT,4029
FAZENDA MORUMBI,BT,4026
CUPECE,SA,4017
JARDIM RECORD,IQ,4017
VILA ANTONIO,BT,4017
JARDIM SÃƒO PEDRO, IQ,4016
PARAÍSO,IP,4016
EMBURA,CS,4008
JARDIM MARTINICA, CL,4008
CANGAÃBA, PE,4006
SÍTIO DO MORRO,FO,3993
VILA SÃO FRANCISCO,PE,3991
RAPOSO TAVARES, BT,3989
PARQUE SAO RAFAEL, SM,3987
PARQUE DAS FLORES, SM,3964
VILA HORTÊNCIA,G,3960
PARQUE DOS BANCARIOS, SM,3959
PARQUE SANTA RITA, MP,3956
VILA AIMORE,MP,3952
JARDIM PRIMAVERA,FO,3938
VILA NOVA CACHOEIRINHA, FB,3936
JARDIM THOMAZ,CL,3935
MOOCA,IP,3930
PARQUE DOM JOAO NERI,MP,3926
CONJ HABIT VILA NOVA CACHOEIRINHA,FO,3916
JARDIM JAPÃƒO, JT,3902
JARDIM RUTH,MP,3900
VILA NOVA PERUS,PJ,3900
JARDIM SÃO FRANCISCO (ZONA LESTE),PE,3896
PARQUE NOVO SANTO AMARO, CL,3893
CIDADE ADEMAR, SA,3888
CIDADE CENTENARIO,SM,3887
JARDIM JOÃƒO XXIII, BT,3877
PARQUE CRUZEIRO DO SUL, MP,3877
VILA ANDRADE,BT,3874
VILA EUTHALIA,PE,3874
VILA FRANCA,CL,3850
JARDIM SABARÁ,SA,3848
JARDIM MONTE BELO, PJ,3840
CHACARA MAFALDA,PE,3835
JARDIM ARIZE,IQ,3830
VILA MARARI, SA,3829
JARDIM PEDRO JOSE NUNES, MP,3828
PARQUE SANTA AMELIA,MP,3825
PARQUE COCAIA, CS,3824
VILA PALMEIRAS, FB,3823
GUAIAUNA,PE,3822
JARDIM SERTÃOZINHO,CS,3809
VILA GRACIOSA,PE,3809
VILA CONSTANCA,SA,3805
JARDIM HEBROM,FO,3800
VILA SANTA TERESA ZONA LESTE,PE,3800
VILA RUBI, CS,3795
REAL PARQUE, BT,3786
PARQUE INDEPENDENCIA, CL,3784
JARDIM ANHANGUERA,SA,3783
JARDIM BARTIRA, MP,3781
JARDIM SELMA,SA,3776
JARDIM SANTA CRUZ ZONA NORTE,FB,3774
INTERLAGOS, CS,3770
VILA AIMORÃ‰, MP,3770
JARDIM PIRITUBA, PJ,3766
JARDIM CÃ‰LIA, MP,3754
VILA NOVA MANCHESTER, IQ,3748
VILA BUTANTÃ,BT,3734
VILA MARA, MP,3724
CONJUNTO HABITACIONAL TURÃSTICA, PJ,3713
JARDIM IGUATEMI, SM,3712
JARDIM ROSANA,CL,3705
JARDIM ELISA MARIA, FB,3697
JARDIM MARIA LUIZA, SA,3689
JARDIM MONTE VERDE,CS,3683
JARDIM SÃO JOÃO (JARAGUÁ),PJ,3682
JARDIM IBIRAPUERA, CL,3671
JARDIM SANTA FE ZONA OESTE, PJ,3658
JARDIM DAS CAMÉLIAS,MP,3651
JARDIM MARIA ESTELA, IP,3641
BALNEÁRIO SÃO JOSÉ,CS,3640
VILA SOCORRO,CS,3640
JARDIM NOSSA SENHORA DO CARMO, IQ,3618
JARDIM CAROMBÉ,FB,3612
PARQUE COLONIAL, SM,3612
CAXINGUI, BT,3611
VILA ISABEL, FB,3601
JARDIM BRASÍLIA (ZONA NORTE),FO,3590
PARQUE DOS BANCÃRIOS, SM,3580
CANINDE, PE,3579
JARDIM BELA VISTA (ZONA SUL),CS,3576
JARDIM LAURA, MP,3571
CONJUNTO RESIDENCIAL VISTA VERDE,PJ,3564
JARDIM VERA CRUZ(ZONA SUL),CL,3561
BARRO BRANCO ZONA NORTE,JT,3560
JARDIM DOS FRANCOS, FB,3560
VILA SANTANA,PE,3552
VILA NHOCUNE, PE,3551
VILA MARCELO,CS,3544
JARDIM ALVORADA,BT,3536
JARDIM CAGUASSU,IQ,3536
JARDIM IVA,SM,3525
JARDIM SAO PEDRO ZONA SUL,CS,3514
JARDIM AUGUSTA,G,3510
COHAB JARDIM PAULISTANO, PJ,3508
JARDIM NOEMIA,MP,3504
JARDIM TUPI,CL,3503
SÉ,IP,3497
PARQUE LIGIA, CL,3492
JARDIM UBIRAJARA, SA,3491
CHACARA SANTA MARIA, CL,3489
JARDIM SAO CARLOS,G,3484
PARQUE SAO JORGE,PE,3471
LIMÃƒO, FB,3467
SACOMA,IP,3457
JARDIM PLANALTO, SM,3453
JARDIM ANGELA ZONA SUL, CL,3451
VELEIROS, CS,3451
JARDIM COLOMBO,BT,3439
JARDIM ÍRIS,PJ,3433
JARDIM STO ANDRE,SM,3432
JARDIM PAULISTANO,FO,3421
VILA ESPERANCA,PE,3421
VILA NORMA,MP,3418
COLONIA ZONA LESTE, IQ,3415
JARDIM IPANEMA ZONA OESTE,PJ,3415
JARDIM ITAPEMIRIM,IQ,3406
VILA INAH,BT,3383
VILA SANTA MARIA,FB,3379
VILA ALBERTINA,FB,3370
BORORE,CS,3368
CAMPOS ELISEOS,IP,3367
VILA FÁTIMA,SM,3367
VILA NOVA YORK,IQ,3367
VILA SANTA CRUZ ZONA LESTE,G,3360
BALNEARIO SAO FRANCISCO, SA,3357
JARDIM UMARIZAL, CL,3355
VILA GUSTAVO, JT,3354
VILA IPOJUCA,PJ,3354
VILA ELZE, IP,3348
VILA MOREIRA, PE,3333
CHÁCARA CRUZEIRO DO SUL,PE,3332
CIDADE SATELITE SANTA BARBARA, SM,3331
CONJUNTO HABITACIONAL INACIO MONTEIRO, G,3328
JARDIM PANORAMA D OESTE,BT,3328
VILA ODETE,G,3328
JARDIM JARAGUÁ (ITAIM PAULISTA),MP,3320
JARDIM ANA ROSA,SM,3318
VILA SOUZA, FB,3317
VILA ALBANO,BT,3312
CIDADE NITRO OPERARIA,MP,3302
JARDIM LOURDES, G,3290
JARDIM CAMBARA,BT,3289
JARDIM MARILIZA,FO,3289
PARQUE SANTA MADALENA, SM,3288
CONJUNTO HABITACIONAL BRIGADEIRO FARIA L, CS,3280
VILA CONSTÂNCIA,PE,3276
LIMOEIRO, MP,3268
VILA DALVA, BT,3268
VILA ARICANDUVA,PE,3246
JARDIM SÃƒO VICENTE, MP,3245
JARDIM JUSSARA,BT,3244
VILA SAO FRANCISCO ZONA LESTE,PE,3235
CHÁCARA SANTO HUBERTUS,CS,3234
JARDIM ITAPURA, SA,3234
VILA ALEXANDRIA, SA,3232
JARDIM SANTO ANTONIO,MP,3231
VILA DIONÃSIA, FB,3227
VILA GUARANI, SA,3224
JARDIM PENHA, PE,3215
VILA SANTA MARIA, CS,3213
PARQUE SANTO ANTÃ”NIO, IQ,3204
JARDIM COIMBRA, PE,3202
JARDIM BOA VISTA (ZONA OESTE),BT,3201
JARDIM ROSSIN,FO,3201
JARDIM SANTA MONICA,PJ,3198
JARDIM SANTA TERESINHA,G,3198
JARDIM VIRGINIA BIANCA, JT,3198
PARQUE SONIA,CL,3198
PRAIA DO LEBLON,SA,3198
JARDIM AMPLIACAO,CL,3188
QUINTA DA PAINEIRA, IP,3188
AMERICANOPOLIS, SA,3181
VILA HELENA, MP,3178
VILA NINA,FB,3178
JARDIM SAO PEDRO, IQ,3174
JARDIM NICE, IQ,3169
JARDIM JAQUELINE, BT,3166
JARDIM MARÃLIA, IQ,3163
JARDIM PIRACUAMA, CL,3145
VILA AMERICANA, MP,3140
VILA CELESTE,FO,3140
VILA JAGUARA, PJ,3135
VILA BANCARIA MUNHOZ, FB,3132
JARDIM ROBRU, MP,3130
VILA INDUSTRIAL,IP,3130
SÃƒO JOÃƒO CLÃMACO, IP,3126
VILA LUCIA,IP,3120
JARDIM FRATERNIDADE,CL,3111
VILA MAZZEI, JT,3109
JARDIM HELIAN,IQ,3108
PARQUE SANTO ANTONIO, CL,3106
VILA LEOPOLDINA, PJ,3100
BALNEARIO MAR PAULISTA,SA,3097
JARDIM ROSA MARIA,CL,3094
JARDIM REGIS, CS,3087
VILA SANTA LUCIA,CL,3085
JARDIM CRISTÁLIA,CL,3084
BOM RETIRO, IP,3080
CHACARA SANTO ANTONIO ZONA LESTE,IQ,3075
JARDIM MANGALOT, PJ,3074
VILA BERTIOGA,PE,3073
CHÁCARA SANTO ANTÔNIO (ZONA LESTE),IQ,3072
SÃTIO MORRO GRANDE, PJ,3069
JARDIM DUPRAT, CL,3060
VILA SIQUEIRA ZONA NORTE,FO,3060
JARDIM NOVO CARRÃO,IQ,3055
VILA UNIVERSITARIA,BT,3055
JARDIM ADUTORA, SM,3052
JARDIM COMERCIAL, CL,3051
NOSSA SENHORA DO Ó,FO,3051
CIDADE NITRO QUÍMICA,MP,3042
VILA IOLANDA, G,3040
JARDIM CORISCO, JT,3034
JARDIM ALFREDO,CL,3029
JARDIM CELESTE, BT,3022
CHÃCARA INGLESA, PJ,3017
COLONIA,CS,3012
VILA RICA, FB,3010
JARDIM FILHOS DA TERRA,JT,3006
JARDIM TIETE, SM,2997
CIDADE NOVA HELIÃ“POLIS, IP,2989
PARQUE DOS PRÃNCIPES, BT,2989
JARDIM ESTER YOLANDA, BT,2985
JARDIM BANDEIRANTES LAJEADO,G,2971
JARDIM HELOISA,MP,2968
UNIÃO DE VILA NOVA,MP,2966
VILA LONDRINA,PE,2961
VILA FIDALGO,JT,2960
VILA AMELIA,FB,2954
VILA EMA, IP,2948
JARDIM IPANEMA (ZONA SUL),CS,2944
VILA GOMES CARDIM, PE,2940
JARDIM DONÁRIA,PJ,2938
JARDIM MARILU, PJ,2936
JARDIM SANTA TERESINHA, IQ,2933
JARDIM SANTA EMÃLIA, IP,2925
JARDIM AURORA (ZONA LESTE),IQ,2916
JARDIM DAS PALMAS,CL,2916
JARDIM BOA VISTA ZONA OESTE,BT,2915
PARQUE MARIA DOMITILA, PJ,2906
PARQUE SANTO EDUARDO, IQ,2898
JARDIM FANGANIELLO, G,2892
VILA PEDRA BRANCA, JT,2889
VILA UNIAO ZONA LESTE, PE,2886
CONJUNTO HABITACIONAL CASTRO ALVES, G,2880
PARQUE VITÓRIA,JT,2880
CHACARA DA ENSEADA,CL,2879
JARDIM DIONISIO,CL,2879
JARDIM HERCULANO,CL,2878
INDIANOPOLIS,IP,2875
JARDIM PAULISTA,IP,2874
PARQUE AMAZONAS,CS,2873
VILA CARRÃƒO, IQ,2872
VILA HERMÍNIA,FO,2872
BUTANTA,BT,2860
JARDIM VILA CARRÃO,SM,2860
PARQUE YPE, BT,2853
VILA CAMPESTRE, SA,2850
JARDIM MONTE ALEGRE,PJ,2849
VILA GOMES, BT,2849
VILA PREL, CL,2846
JARDIM LIMOEIRO,SM,2842
JARDIM NAZARE,MP,2835
VILA MADALENA, BT,2835
JARDIM IAE,CL,2830
JARDIM IMPERADOR, SM,2826
CONJ PROMORAR RIO CLARO, SM,2824
VILA GUARANI(ZONA SUL),SA,2824
JARDIM BRASILIA ZONA NORTE,FO,2814
VILA SANTA CATARINA, SA,2811
JARDIM MATARAZZO, MP,2791
VILA ERNA,SA,2790
VILA PRINCESA ISABEL, G,2790
JARDIM SÃO MANOEL,CL,2784
JARDIM VITÓRIA,G,2780
VILA JOÃO BATISTA,FO,2776
CAMPININHA, SA,2772
JARDIM BRASÍLIA,CL,2772
JD PEDRO JOSE NUNES, MP,2768
JARDIM MARIANE, CL,2766
COHAB SANTA ETELVINA II A, G,2762
CHÁCARA TRÊS MENINAS,MP,2756
CIDADE NITRO OPERÁRIA,MP,2756
JARDIM FLOR DE MAIO, JT,2752
JARDIM SANTA TEREZINHA PEDREIRA,SA,2752
JARDIM IPÊ,CL,2744
MIRANDÓPOLIS,IP,2741
PARQUE PRIMAVERA, SA,2741
COHAB SANTA ETELVINA II B, IQ,2737
JARDIM MARIA AMÁLIA,CS,2728
VILA CURUCA, MP,2727
JARDIM FERNANDES, IQ,2724
JARDIM IPANEMA (ZONA OESTE),PJ,2724
COHAB JUSCELINO, G,2720
JARDIM YARA, JT,2716
VILA LIVIERO, IP,2709
VILA PRIMAVERA, SM,2709
CONJ HAB SITIO CONCEIÇÃO,G,2704
VILA PAULO SILAS,IP,2704
VILA ROMERO,JT,2704
JARDIM SÃO JORGE,SA,2701
VILA ALBA, BT,2700
JARDIM CENTENARIO,FB,2684
JARDIM DO COLÉGIO,CL,2677
COHAB MARECHAL MASCARENHAS DE MORAIS, SM,2675
JARDIM DA SAÚDE,IP,2674
ALTO DE PINHEIROS,BT,2665
JARDIM SANTO ELIAS, PJ,2664
VILA NOVA GALVÃO,JT,2664
JARDIM VALE DAS VIRTUDES, CL,2661
JARDIM SANTA TEREZINHA (PEDREIRA),SA,2660
JARDIM PLANALTO, CL,2656
JARDIM WILMA FLOR, G,2654
PLANALTO PAULISTA, IP,2654
JARDIM SAO JORGE,SA,2652
VILA BARUEL, FB,2646
JARDIM SAO LUIS ZONA NORTE,JT,2645
JARDIM DAS LARANJEIRAS,FO,2644
JARDIM SHANGRILA ZONA NORTE, PJ,2643
ESTÂNCIA JARAGUÁ,PJ,2640
JARDIM ADELFIORI,PJ,2640
SAO JOAO CLIMACO, IP,2640
PARQUE MONTEIRO SOARES, FB,2639
CHACARA SANTO ANTONIO, SA,2636
JARDIM JARAGUA, PJ,2632
VILA ARICANDUVA, IQ,2631
VILA NASCENTE, CS,2630
VILA PROGRESSO, MP,2630
CONJUNTO CITY JARAGUA, PJ,2627
SAO MATEUS,SM,2626
JARDIM BOA VISTA, BT,2624
VILA ISOLINA MAZZEI, JT,2623
GRANJA NOSSA SENHORA APARECIDA, CS,2619
VILA TIRADENTES,BT,2613
JARDIM SANTA FE ZONA SUL, CS,2610
JARDIM JAÇANÃ,JT,2608
VILA CAROLINA,FO,2606
JARDIM SAO CARLOS ZONA LESTE, MP,2602
JARDIM RODRIGO,PJ,2600
PARQUE SEVILHA, PE,2599
VILA CLARA,MP,2594
JARDIM PEDRO JOSÃ‰ NUNES, MP,2592
VILA EMA,SM,2592
VILA RENATO ZONA NORTE,PJ,2590
JARDIM JUA,SA,2584
VILA DOUTOR EIRAS,MP,2584
JARDIM BRITANIA, PJ,2578
VILA RICA,CL,2575
JARDIM SANTO ANTÔNIO,PE,2574
JARDIM HERCILIA, PE,2572
JARDIM PERI NOVO,FO,2570
JARDIM BONFIGLIOLI, BT,2568
CENTRO,IP,2548
PARQUE SÃƒO LUÃS, FB,2548
JARDIM SANTA EMILIA,IP,2546
JARDIM BANDEIRANTE SAO RAFAEL,SM,2540
JARDIM DA SAUDE, IP,2537
CIDADE DOMITILA, SA,2529
VILA PIERINA, PE,2527
VILA BELA VISTA ZONA NORTE, FB,2525
JARDIM MIRAGAIA, MP,2520
JARDIM AUGUSTO, SM,2519
CIDADE CENTENÁRIO,SM,2517
JARDIM SANTA FE, CS,2510
CIDADE SAO FRANCISCO, BT,2502
JARDIM CAROMBE,FB,2502
VILA DOS PALMARES, PJ,2489
CONJ RESIDENCIAL JOSE BONIFACIO, IQ,2484
BARRAGEM,CS,2477
JARDIM RUSSO, PJ,2477
PARQUE SANTA BÁRBARA,CL,2472
VILA MARIANA, IP,2470
VILA ROQUE, FB,2466
JARDIM LEME,CL,2464
CHÃCARA SANTANA, CL,2461
VILA AMALIA ZONA NORTE,FO,2460
VILA RICA,IQ,2457
VILA DALILA, PE,2455
JARDIM CACHOEIRA,FB,2452
BELENZINHO, PE,2448
VILA PIRITUBA,PJ,2446
VILA PITA,FO,2443
JARDIM MARIA DUARTE,CL,2435
JARDIM SAO FRANCISCO ZONA LESTE,PE,2435
JARDIM AURORA ZONA LESTE,IQ,2430
VILA PAULICEIA, JT,2427
VILA BRASILÃ‚NDIA, PJ,2425
VILA ANGELICA, FB,2423
VILA SÃO JOSÉ (GUAIANAZES),G,2419
PARQUE TIETE,FB,2418
VILA BOM JARDIM, CL,2409
JARDIM DAMASCENO, FB,2404
JARDIM GUANABARA, CS,2402
JARDIM GRIMALDI, SM,2385
JARDIM PORTAL I E II,JT,2379
VILA IOLANDALAJEADO,G,2379
VILA SÃƒO NICOLAU, IP,2377
JARDIM NOVA VITÓRIA I,SM,2370
VILA DIONISIA,FB,2370
JARDIM PANORAMA ZONA LESTE, IP,2368
VILA AMÁLIA (ZONA LESTE),PE,2360
VILA DOMITILA, PE,2357
CIDADE NOVA AMÉRICA,CS,2354
VILA SANTA INÊS,MP,2352
JARDIM ICARAÃ, CS,2350
PARQUE SAO LUCAS, IP,2350
COHAB TEOTONIO VILELA, SM,2347
PARQUE NACOES UNIDAS, PJ,2341
JARDIM MARISA, PJ,2338
JARDIM IMPERADOR (ZONA LESTE),SM,2330
FAZENDA DO CARMO,IQ,2328
VILA CAJU,PE,2328
JARDIM CASA PINTADA,MP,2327
VILA SANTA LÃšCIA, CL,2324
BROOKLIN PAULISTA,SA,2318
JARDIM DOS MANACÁS,CS,2317
JARDIM TEREZA, IP,2314
VILA VERDE, IQ,2313
VILA AMÁLIA (ZONA NORTE),FO,2308
CHÁCARA CALIFÓRNIA,IQ,2301
CIDADE SAO MATEUS, SM,2295
JARDIM SABARA, SA,2295
JARDIM BEATRIZ, CS,2292
JD SAPOPEMBA, SM,2287
VILA PALMEIRAS, PJ,2287
VILA ZEFIRA,G,2283
JARDIM SÃO JOÃO,CL,2280
VILA BABILÃ”NIA, SA,2277
JARDIM PRINCESA, FB,2261
JARDIM ANA LÃšCIA, CS,2257
JARDIM SÃO CRISTÓVÃO,SM,2256
VILA SOCORRO,CL,2255
COHAB MONET, CL,2251
JARDIM CELESTE, IP,2240
VILA BRASILANDIA, FB,2239
JARDIM BELA VISTA ZONA SUL,CS,2235
JARDIM INDAIÁ,MP,2232
JARDIM SANTA ADELIA, SM,2230
JARDIM TRES MARIAS, PE,2226
JARDIM SAO LUIS ZONA LESTE, MP,2223
CASA VERDE,FB,2220
JARDIM BANDEIRANTES ZONA NORTE, PJ,2220
PARQUE IMPERIAL,IP,2218
VILA GUACURI, SA,2214
VILA PIRACICABA,MP,2208
JARDIM SAO ROBERTO, SM,2207
JARDIM REIMBERG, CS,2200
JARDIM CECY,FB,2198
VILA CORDEIRO, BT,2196
VILA BUENOS AIRES, PE,2194
JARDIM ELBA, SM,2193
JARDIM SÃO PAULO(ZONA NORTE),JT,2192
VILA ARCÃDIA, FB,2190
PARQUE TAIPAS, PJ,2182
FAZENDA CAGUAÇU,IQ,2168
LAGEADO,G,2165
PARQUE GRAJAÚ,CS,2160
PARADA INGLESA, JT,2156
VILA RIO BRANCO, PE,2154
BROOKLIN PAULISTA,BT,2145
JARDIM MODELO, JT,2145
JARDIM SANTA TEREZINHA ZONA LESTE, G,2137
JARDIM GIANETTI,G,2136
JARDIM PAULISTANO ZONA NORTE,PJ,2135
JARDIM MITSUTANI, CL,2134
VILA ISA, SA,2131
JARDIM SAO JOAO SAO RAFAEL,SM,2125
JARDIM VERGUEIRO, CL,2124
PARADA XV DENOVEMBRO,IQ,2124
CIDADE NOVA HELIOPOLIS, IP,2120
VILA SAO FRANCISCO,PE,2119
VILA IVONE,IP,2097
JARDIM SÃƒO NICOLAU, PE,2096
JARDIM LUSO, SA,2095
PARQUE MARIA LUIZA, IQ,2095
JARDIM FRANCISCO MENDES,JT,2093
NOVA CONQUISTA,SM,2093
JARDIM MONTE ALEGRE,FB,2090
JARDINS RECANTO DAS ROSAS,G,2088
VILA PROGREDIOR,BT,2088
JARDIM SANTA ADÃ‰LIA, SM,2083
ITABERABA, FB,2082
JARDIM BANDEIRANTE, SM,2081
JARDIM DO ALTO,CS,2076
PARQUE BRASIL, CS,2069
MOINHO VELHO, IP,2064
VILA MONTE ALEGRE,IP,2063
JARDIM AUREA, G,2062
JARDIM SAO JOSE, CL,2059
PARQUE TOMAS SARAIVA, IP,2056
ÁGUA BRANCA,PJ,2056
JARDIM DAS ROSAS IGUATEMI,SM,2050
CAMPO BELO, SA,2040
VILA SIQUEIRA ZONA NORTE,FB,2040
COHAB CASTRO ALVES, G,2035
JARDIM LEONOR,BT,2034
JARDIM ÃUREA, G,2033
JARDIM ANDARAI, JT,2032
VILA SAO GERALDO, G,2025
CAPELA DO SOCORRO, CS,2023
SÃTIO MORRO GRANDE, FB,2023
JARDIM CASA GRANDE, CS,2019
FURNAS,JT,2012
ENGENHEIRO GOULART, PE,2010
VILA CAMPO GRANDE,SA,2005
RESIDENCIAL COCAIA,CS,2002
JARDIM ANGELA, SM,2000
VILA CARAGUATA, IP,1997
BUTANTÃƒ, BT,1995
JARDIM CAMPO LIMPO, CL,1992
JARDIM PÉROLA III,G,1992
JARDIM TRÃŠS MARIAS, SM,1991
JARDIM HUMAITÁ,PJ,1990
JARDIM ELIANE, IQ,1987
JARDIM CABUÇU,JT,1976
JARDIM NELIA IV,MP,1974
JARDIM ELLUS,CS,1972
PARQUE FERNANDA, CL,1971
VILA RÃ‰, PE,1966
CIDADE POPULAR,G,1963
JARDIM MONJOLO,FB,1956
CONJUNTO HABITACIONAL BRIGADEIRO EDUARDO,PJ,1955
JARDIM PAULISTA,BT,1954
VILA RIBEIRO DE BARROS, PJ,1951
VILA LOURDES, MP,1946
VILA CRUZEIRO,IQ,1944
CIDADE MÃƒE DO CÃ‰U, PE,1939
ÃGUA FRIA, JT,1938
VILA CLEMENTINO, IP,1937
JARDIM SÃO JUDAS TADEU,CS,1936
VILA NOVA PARADA, PJ,1934
CHACARA INGLESA, IP,1927
CHACARA SANTANA, CL,1927
VILA CONCEICAO,MP,1925
JARDIM APURA,SA,1924
JARDIM VILA FORMOSA, IQ,1924
JARDIM BATAGLIA, BT,1923
JARDIM MARISTELA,FB,1918
JARDIM SANTANA, MP,1915
JARDIM SÃO JOÃO (GUAIANAZES),G,1914
PQ BOA ESPERANÇA,SM,1912
JARDIM MARIA LÍDIA,SM,1900
JARDIM QUISISANA (VILA NOVA CURUÇÁ),MP,1896
SUMARE, PJ,1896
CONJUNTO HABITACIONAL BARREIRA GRANDE,IQ,1895
VILA INVERNADA, PE,1892
ARTHUR ALVIM, PE,1890
PARADA XV DE NOVEMBRO, IQ,1888
JARDIM LAJEADO,MP,1885
JARDIM CLIPER, CS,1879
CONJUNTO HABITACIONAL INSTITUTO ADVENTIS, CL,1877
CONJUNTO RESIDENCIAL JARDIM CANAÃ,SA,1876
JARDIM BRASILIA ZONA NORTE,FB,1876
JARDIM PALMARES, SA,1875
CONJ HAB BARRO BRANCO II,G,1872
JARDIM MÁLIA II,CS,1872
VILA QUINTANA,CS,1864
VILA DIVINA PASTORA,IP,1863
PARQUE SANTA BARBARA, CL,1862
JARDIM DENISE, JT,1859
JARDIM SANTA TEREZINHA ZONA LESTE, IQ,1857
JARDIM PONTE RASA,PE,1856
VILA REGINA  ZONA LESTE,IQ,1845
VILA MIRANTE, PJ,1844
JARDIM IPANEMA ZONA SUL,CS,1840
JARDIM SANTO ELIAS (SÃO MIGUEL),MP,1840
JARDIM SÃO JOÃO (SÃO RAFAEL),SM,1834
JARDIM MORAES PRADO,CS,1827
VILA PATRIMONIAL,SA,1824
JARDIM VERA CRUZZONA SUL, CL,1822
JARDIM DAS ROSAS (IGUATEMI),SM,1816
JARDIM MARINGÃ, PE,1813
JARDIM SAO JANUARIO, CL,1810
SÍTIO DO MANDAQUI,FB,1810
VILA ANADIR, IP,1802
VILA CALU, CL,1794
VILA IOLANDA(LAJEADO),G,1791
